nome_coluna,chave,valor
v6940,1,Trabalhadores domésticos com carteira de trabalho assinada
v0615 ,1,"Sim, não consegue de modo algum"
v0627 ,1,Sim
v0502,2,Cônjuge ou companheiro(a) de sexo diferente
v0601,2,Feminino
v0604,2,Sim e mora em outro domicílio
v0606,2,Preta
v0613,2,Declaração de nascido vivo (dnv) do hospital ou da maternidade
v0614,2,"Sim, grande dificuldade"
v0616,2,"Sim, grande dificuldade"
v0617,2,Não
v0618,2,"Sim, mas morou em outro município ou país estrangeiro"
v0619,2,"Sim, mas morou em outra unidade da federação ou país estrangeiro"
v0620,2,Naturalizado brasileiro
v0625,2,País estrangeiro
v0628,2,"Sim, particular"
v0629,2,Pré-escolar (maternal e jardim de infância)
v0630,2,Primeira série/segundo ano
v0631,2,Segunda série
v0632,2,Não
v0633,2,Alfabetização de jovens e adultos
v0634,2,Não
v0635,2,Mestrado
v0636,2,Em outro município
v0637,2,"Não, já viveu antes"
v0639,2,Só casamento civil
v0640,2,Desquitado(a) ou separado(a) judicialmente
v0641,2,Não
v0642,2,Não
v0643,2,Não
v0644,2,Não
v0645,2,Dois ou mais
v0648,2,"Militar do exército, marinha, aeronáutica, polícia militar ou corpo de bombeiros"
v0649,2,6 ou mais pessoas
v0650,2,"Sim, em outro trabalho"
v0651,2,"Somente em benefícios (moradia, alimentação, treinamento, etc.)"
v0652,2,"Somente em benefícios (moradia, alimentação, treinamento, etc.)"
v0654,2,Não
v0655,2,Não
v0660,2,"Apenas neste município, mas não no próprio domicílio"
v0662,2,De 06 minutos até meia hora
v0663,2,Não teve filho nascido vivo
v0664,2,Não sabe o número de filhos homens e mulheres vivos em 31/07/2010
v0665,2,Feminino
v0667,2,Não
v0668,2,Não sabe
v0669,2,Não teve filho nascido morto
v0670,2,Outro morador
v5030,2,Duas pessoas ou mais sem parentesco
v5040,2,Arranjo não familiar
v5090,2,Casal sem filho(s) e com parente(s)
v5100,2,Casal com filho(s)
v6040,2,Idade declarada
v6222,2,País estrangeiro
v6400,2,Fundamental completo e médio incompleto
v6900,2,Não economicamente ativas
v6910,2,Desocupadas
v6920,2,Não ocupadas
v6930,2,Militares e funcionários públicos estatutários
v6940,2,Trabalhadores domésticos sem carteira de trabalho assinada
v0615 ,2,"Sim, grande dificuldade"
v0627 ,2,Não
v0502,3,Cônjuge ou companheiro(a) do mesmo sexo
v0604,3,Não
v0606,3,Amarela
v0613,3,Registro administrativo de nascimento indígena (rani)
v0614,3,"Sim, alguma dificuldade"
v0616,3,"Sim, alguma dificuldade"
v0618,3,Não
v0619,3,Não
v0620,3,Estrangeiro
v0628,3,"Não, já frequentou"
v0629,3,Classe de alfabetização – ca
v0630,3,Segunda série/terceiro ano
v0631,3,Terceira série
v0633,3,Antigo primário (elementar)
v0635,3,Doutorado
v0636,3,Em país estrangeiro
v0637,3,"Não, nunca viveu"
v0639,3,Só casamento religioso
v0640,3,Divorciado(a)
v0648,3,Empregado pelo regime jurídico dos funcionários públicos
v0650,3,Não
v0660,3,Em outro município
v0662,3,Mais de meia hora até uma hora
v0669,3,Não sabe
v0670,3,Não morador
v5030,3,Duas pessoas ou mais com parentesco
v5090,3,Casal com filho(s)
v5100,3,Mulher sem cônjuge com filho(s)
v6400,3,Médio completo e superior incompleto
v6930,3,Empregados sem carteira de trabalho assinada
v6940,3,Demais empregados com carteira de trabalho assinada
v0615 ,3,"Sim, alguma dificuldade"
v0502,4,Filho(a) do responsável e do cônjuge
v0604,4,Não sabe
v0606,4,Parda
v0613,4,Não tem
v0614,4,"Não, nenhuma dificuldade"
v0616,4,"Não, nenhuma dificuldade"
v0628,4,"Não, nunca frequentou"
v0629,4,Alfabetização de jovens e adultos
v0630,4,Terceira série/quarto ano
v0631,4,Quarta série
v0633,4,Antigo ginásio (médio 1º ciclo)
v0639,4,União consensual
v0640,4,Viúvo(a)
v0648,4,Empregado sem carteira de trabalho assinada
v0660,4,Em país estrangeiro
v0662,4,Mais de uma hora até duas horas
v5090,4,Casal com filho(s) e com parente(s)
v6400,4,Superior completo
v6930,4,Conta própria
v6940,4,Militares e funcionários públicos estatutários
v0615 ,4,"Não, nenhuma dificuldade"
v0502,5,Filho(a) somente do responsável
v0606,5,Indígena
v0613,5,Não sabe
v0629,5,Regular do ensino fundamental
v0630,5,Quarta série/quinto ano
v0631,5,Curso não seriado
v0633,5,Regular do ensino fundamental ou 1º grau (da 1aa 3a série/ do 1º ao 4º ano)
v0640,5,Solteiro(a)
v0648,5,Conta própria
v0660,5,Em mais de um município ou país
v0662,5,Mais de duas horas
v5090,5,Mulher sem cônjuge com filho(s)
v6400,5,Não determinado
v6930,5,Empregadores
v6940,5,Demais empregados sem carteira de trabalho assinada
v0502,6,Enteado(a)
v0629,6,Educação de jovens e adultos – eja ou supletivo do ensino fundamental
v0630,6,Quinta série/sexto ano
v0633,6,Regular do ensino fundamental ou 1º grau (da 4a série/5º ano)
v0648,6,Empregador
v5090,6,Mulher sem cônjuge com filho(s) e com parente(s)
v6930,6,Não remunerados
v0502,7,Genro ou nora: para o genro ou a nora da pessoa responsável ou do cônjuge
v0629,7,Regular do ensino médio
v0630,7,Sexta série/sétimo ano
v0633,7,Regular do ensino fundamental ou 1ºgrau (da 5aa 8asérie/ do 6º ao 9º ano)
v0648,7,Não remunerado
v5090,7,Homem sem cônjuge com filho(s)
v6930,7,Trabalhadores na produção para o próprio consumo
v0502,8,"Pai, mãe, padrasto ou madrasta"
v0629,8,Educação de jovens e adultos – eja ou supletivo do ensino médio
v0630,8,Sétima série/oitavo ano
v0633,8,Supletivo do ensino fundamental ou do 1ºgrau
v5090,8,Homem sem cônjuge com filho(s) e com parente(s)
v0502,9,Sogro(a)
v0604,9,Ignorado
v0606,9,Ignorado
v0613,9,Ignorado
v0614,9,Ignorado
v0616,9,Ignorado
v0617,9,Ignorado
v0629,9,Superior de graduação
v0630,9,Oitava série/nono ano
v0633,9,"Antigo científico, clássico, etc. (médio 2o ciclo)"
v0656,9,Ignorado
